,Family_id,SuperFamily_id,Sequence,CF,SF,FA
0,8045703,8091604,,2001470,3002524,4004627
1,8094330,8094331,,2001470,3002524,4004627
2,8017835,8017836,,2000016,3001156,4003986
3,8021315,8033695,,2000016,3001156,4003632
4,8021787,8034167,,2000016,3001156,4002481
5,8021931,8034311,,2000016,3001156,4003632
6,8022184,8034564,,2000016,3001156,4003632
7,8022194,8034574,,2000016,3001156,4003632
8,8022532,8034912,,2000016,3001156,4003632
9,8023273,8035653,,2000016,3001156,4003632
10,8023280,8035660,,2000016,3001156,4003632
11,8023314,8035694,,2000016,3001156,4003632
12,8023408,8035788,,2000016,3001156,4003632
13,8023786,8036166,,2000016,3001156,4003632
14,8023805,8036185,,2000016,3001156,4003632
15,8023808,8036188,,2000016,3001156,4003632
16,8024166,8036545,,2000016,3001156,4003632
17,8024398,8036777,,2000016,3001156,4003632
18,8024696,8037075,,2000016,3001156,4003632
19,8025118,8037497,,2000016,3001156,4003632
20,8025122,8037501,,2000016,3001156,4002478
21,8025234,8037613,,2000016,3001156,4003632
22,8025680,8038059,,2000016,3001156,4003632
23,8025734,8038113,,2000016,3001156,4003632
24,8025851,8038230,,2000016,3001156,4003632
25,8026410,8038789,,2000016,3001156,4002938
26,8026920,8039299,,2000016,3001156,4003632
27,8027136,8039515,,2000016,3001156,4003632
28,8028257,8040636,,2000016,3001156,4003632
29,8028706,8041085,,2000016,3001156,4003632
30,8030843,8043222,,2000016,3001156,4003632
31,8030845,8043224,,2000016,3001156,4003632
32,8030924,8043303,,2000016,3001156,4003632
33,8031442,8043820,,2000016,3001156,4003632
34,8031657,8044035,,2000016,3001156,4003632
35,8031661,8044039,,2000016,3001156,4003632
36,8031663,8044041,,2000016,3001156,4003632
37,8031664,8044042,,2000016,3001156,4003632
38,8031670,8044048,,2000016,3001156,4003632
39,8031671,8044049,,2000016,3001156,4003632
40,8031672,8044050,,2000016,3001156,4003653
41,8031727,8044105,,2000016,3001156,4003685
42,8017851,8057732,,2000016,3001156,4003632
43,8017852,8057733,,2000016,3001156,4003986
44,8017853,8057736,,2000016,3001156,4003986
45,8017854,8057737,,2000016,3001156,4003986
46,8017855,8057740,,2000016,3001156,4003986
47,8017856,8057741,,2000016,3001156,4003986
48,8072779,8072780,,2000016,3001156,4003632
49,8072781,8072782,,2000016,3001156,4003632
50,8072783,8072784,,2000016,3001156,4003632
51,8072785,8072786,,2000016,3001156,4003632
52,8072787,8072788,,2000016,3001156,4003632
53,8072789,8072790,,2000016,3001156,4003632
54,8072791,8072792,,2000016,3001156,4003632
55,8072793,8072794,,2000016,3001156,4003632
56,8072795,8072796,,2000016,3001156,4003632
57,8072797,8072798,,2000016,3001156,4003632
58,8072799,8072800,,2000016,3001156,4003632
59,8072801,8072802,,2000016,3001156,4003632
60,8072803,8072804,,2000016,3001156,4003632
61,8072807,8072808,,2000016,3001156,4003632
62,8072809,8072810,,2000016,3001156,4003632
63,8072811,8072812,,2000016,3001156,4003632
64,8072813,8072814,,2000016,3001156,4003632
65,8072815,8072816,,2000016,3001156,4003632
66,8072817,8072818,,2000016,3001156,4003632
67,8072819,8072820,,2000016,3001156,4003632
68,8072821,8072822,,2000016,3001156,4003632
