,Family_id,SuperFamily_id,Sequence,CL,CF,SF,FA
0,8045703,8091604,,1000003,2001470,3002524,4004627
1,8094330,8094331,,1000003,2001470,3002524,4004627
2,8017835,8017836,,1000002,2000016,3001156,4003986
3,8021315,8033695,,1000002,2000016,3001156,4003632
4,8021787,8034167,,1000002,2000016,3001156,4002481
5,8021931,8034311,,1000002,2000016,3001156,4003632
6,8022184,8034564,,1000002,2000016,3001156,4003632
7,8022194,8034574,,1000002,2000016,3001156,4003632
8,8022532,8034912,,1000002,2000016,3001156,4003632
9,8023273,8035653,,1000002,2000016,3001156,4003632
10,8023280,8035660,,1000002,2000016,3001156,4003632
11,8023314,8035694,,1000002,2000016,3001156,4003632
12,8023408,8035788,,1000002,2000016,3001156,4003632
13,8023786,8036166,,1000002,2000016,3001156,4003632
14,8023805,8036185,,1000002,2000016,3001156,4003632
15,8023808,8036188,,1000002,2000016,3001156,4003632
16,8024166,8036545,,1000002,2000016,3001156,4003632
17,8024398,8036777,,1000002,2000016,3001156,4003632
18,8024696,8037075,,1000002,2000016,3001156,4003632
19,8025118,8037497,,1000002,2000016,3001156,4003632
20,8025122,8037501,,1000002,2000016,3001156,4002478
21,8025234,8037613,,1000002,2000016,3001156,4003632
22,8025680,8038059,,1000002,2000016,3001156,4003632
23,8025734,8038113,,1000002,2000016,3001156,4003632
24,8025851,8038230,,1000002,2000016,3001156,4003632
25,8026410,8038789,,1000002,2000016,3001156,4002938
26,8026920,8039299,,1000002,2000016,3001156,4003632
27,8027136,8039515,,1000002,2000016,3001156,4003632
28,8028257,8040636,,1000002,2000016,3001156,4003632
29,8028706,8041085,,1000002,2000016,3001156,4003632
30,8030843,8043222,,1000002,2000016,3001156,4003632
31,8030845,8043224,,1000002,2000016,3001156,4003632
32,8030924,8043303,,1000002,2000016,3001156,4003632
33,8031442,8043820,,1000002,2000016,3001156,4003632
34,8031657,8044035,,1000002,2000016,3001156,4003632
35,8031661,8044039,,1000002,2000016,3001156,4003632
36,8031663,8044041,,1000002,2000016,3001156,4003632
37,8031664,8044042,,1000002,2000016,3001156,4003632
38,8031670,8044048,,1000002,2000016,3001156,4003632
39,8031671,8044049,,1000002,2000016,3001156,4003632
40,8031672,8044050,,1000002,2000016,3001156,4003653
41,8031727,8044105,,1000002,2000016,3001156,4003685
42,8017851,8057732,,1000002,2000016,3001156,4003632
43,8017852,8057733,,1000002,2000016,3001156,4003986
44,8017853,8057736,,1000002,2000016,3001156,4003986
45,8017854,8057737,,1000002,2000016,3001156,4003986
46,8017855,8057740,,1000002,2000016,3001156,4003986
47,8017856,8057741,,1000002,2000016,3001156,4003986
48,8072779,8072780,,1000002,2000016,3001156,4003632
49,8072781,8072782,,1000002,2000016,3001156,4003632
50,8072783,8072784,,1000002,2000016,3001156,4003632
51,8072785,8072786,,1000002,2000016,3001156,4003632
52,8072787,8072788,,1000002,2000016,3001156,4003632
53,8072789,8072790,,1000002,2000016,3001156,4003632
54,8072791,8072792,,1000002,2000016,3001156,4003632
55,8072793,8072794,,1000002,2000016,3001156,4003632
56,8072795,8072796,,1000002,2000016,3001156,4003632
57,8072797,8072798,,1000002,2000016,3001156,4003632
58,8072799,8072800,,1000002,2000016,3001156,4003632
59,8072801,8072802,,1000002,2000016,3001156,4003632
60,8072803,8072804,,1000002,2000016,3001156,4003632
61,8072807,8072808,,1000002,2000016,3001156,4003632
62,8072809,8072810,,1000002,2000016,3001156,4003632
63,8072811,8072812,,1000002,2000016,3001156,4003632
64,8072813,8072814,,1000002,2000016,3001156,4003632
65,8072815,8072816,,1000002,2000016,3001156,4003632
66,8072817,8072818,,1000002,2000016,3001156,4003632
67,8072819,8072820,,1000002,2000016,3001156,4003632
68,8072821,8072822,,1000002,2000016,3001156,4003632
69,8072823,8072824,,1000002,2000016,3001156,4003632
70,8072825,8072826,,1000002,2000016,3001156,4003632
71,8072827,8072828,,1000002,2000016,3001156,4003632
72,8072829,8072830,,1000002,2000016,3001156,4003632
73,8072831,8072832,,1000002,2000016,3001156,4003632
74,8072833,8072834,,1000002,2000016,3001156,4003632
75,8072835,8072836,,1000002,2000016,3001156,4003632
76,8072837,8072838,,1000002,2000016,3001156,4003632
77,8072839,8072840,,1000002,2000016,3001156,4003632
78,8072841,8072842,,1000002,2000016,3001156,4003632
79,8072843,8072844,,1000002,2000016,3001156,4003632
80,8072845,8072846,,1000002,2000016,3001156,4003632
81,8072847,8072848,,1000002,2000016,3001156,4003632
82,8072849,8072850,,1000002,2000016,3001156,4003632
83,8072851,8072852,,1000002,2000016,3001156,4003632
84,8072853,8072854,,1000002,2000016,3001156,4003632
85,8072855,8072856,,1000002,2000016,3001156,4003632
86,8072857,8072858,,1000002,2000016,3001156,4003632
87,8072859,8072860,,1000002,2000016,3001156,4003632
88,8072861,8072862,,1000002,2000016,3001156,4003632
89,8072863,8072864,,1000002,2000016,3001156,4003632
90,8072865,8072866,,1000002,2000016,3001156,4003632
91,8072867,8072868,,1000002,2000016,3001156,4003632
92,8072869,8072870,,1000002,2000016,3001156,4003632
93,8072871,8072872,,1000002,2000016,3001156,4003632
94,8072873,8072874,,1000002,2000016,3001156,4003632
95,8072875,8072876,,1000002,2000016,3001156,4003632
96,8072877,8072878,,1000002,2000016,3001156,4003632
97,8072879,8072880,,1000002,2000016,3001156,4003632
98,8072881,8072882,,1000002,2000016,3001156,4003632
99,8072883,8072884,,1000002,2000016,3001156,4003632
100,8072885,8072886,,1000002,2000016,3001156,4003632
101,8072887,8072888,,1000002,2000016,3001156,4003632
102,8072889,8072890,,1000002,2000016,3001156,4003632
103,8072891,8072892,,1000002,2000016,3001156,4003632
104,8072893,8072894,,1000002,2000016,3001156,4003632
105,8072895,8072896,,1000002,2000016,3001156,4003632
106,8072897,8072898,,1000002,2000016,3001156,4003632
107,8072899,8072900,,1000002,2000016,3001156,4003632
108,8072901,8072902,,1000002,2000016,3001156,4003632
109,8072903,8072904,,1000002,2000016,3001156,4003632
110,8072905,8072906,,1000002,2000016,3001156,4003632
111,8072907,8072908,,1000002,2000016,3001156,4003632
112,8074334,8074335,,1000002,2000016,3001156,4003632
113,8074336,8074337,,1000002,2000016,3001156,4003632
114,8074338,8074339,,1000002,2000016,3001156,4003632
115,8074340,8074341,,1000002,2000016,3001156,4003632
116,8074342,8074343,,1000002,2000016,3001156,4003632
117,8074344,8074345,,1000002,2000016,3001156,4003632
118,8074346,8074347,,1000002,2000016,3001156,4003632
119,8074348,8074349,,1000002,2000016,3001156,4003632
120,8074354,8074355,,1000002,2000016,3001156,4003632
121,8075474,8075475,,1000002,2000016,3001156,4003632
122,8075476,8075477,,1000002,2000016,3001156,4003632
123,8075478,8075479,,1000002,2000016,3001156,4003632
124,8075480,8075481,,1000002,2000016,3001156,4003632
125,8076228,8076229,,1000002,2000016,3001156,4003632
126,8076230,8076231,,1000002,2000016,3001156,4003632
127,8076697,8076698,,1000002,2000016,3001156,4003632
128,8077394,8077395,,1000002,2000016,3001156,4003632
129,8077428,8077429,,1000002,2000016,3001156,4003632
130,8081626,8081627,,1000002,2000016,3001156,4003632
131,8083886,8083887,,1000002,2000016,3001156,4003632
132,8092321,8092322,,1000002,2000016,3001156,4003632
133,8094828,8094829,,1000002,2000016,3001156,4003632
134,8094976,8094977,,1000002,2000016,3001156,4003632
135,8094978,8094979,,1000002,2000016,3001156,4003632
136,8095472,8095473,,1000002,2000016,3001156,4003632
137,8096155,8096156,,1000002,2000016,3001156,4003632
138,8096203,8096204,,1000002,2000016,3001156,4003632
139,8096501,8096502,,1000002,2000016,3001156,4003632
140,8096607,8096608,,1000002,2000016,3001156,4003632
141,8096609,8096610,,1000002,2000016,3001156,4003632
142,8096731,8096732,,1000002,2000016,3001156,4003632
143,8096969,8096970,,1000002,2000016,3001156,4003632
144,8097261,8097262,,1000002,2000016,3001156,4003632
145,8098421,8098422,,1000002,2000016,3001156,4003632
146,8099121,8099122,,1000002,2000016,3001156,4003632
147,8101340,8101341,,1000002,2000016,3001156,4003632
148,8101702,8101703,,1000002,2000016,3001156,4003632
149,8103049,8103050,,1000002,2000016,3001156,4003632
150,8103509,8103510,,1000002,2000016,3001156,4003632
151,8104014,8104015,,1000002,2000016,3001156,4003632
152,8105613,8105614,,1000002,2000016,3001156,4003632
153,8045706,8091607,,1000002,2001471,3002525,4004630
154,8045707,8091609,,1000002,2001471,3002525,4004630
155,8045708,8091611,,1000002,2001471,3002525,4004630
156,8019846,8032226,,1000000,2000736,3001157,4002373
157,8045706,8091608,,1000002,2000683,3002526,4004630
158,8045707,8091610,,1000002,2000683,3002526,4004630
159,8045708,8091612,,1000002,2000683,3002526,4004630
160,8025639,8038018,,1000003,2000735,3001158,4002374
161,8083633,8083634,,1000003,2000735,3001158,4002374
162,8083635,8083636,,1000003,2000735,3001158,4002374
163,8083637,8083638,,1000003,2000735,3001158,4002374
164,8083639,8083640,,1000003,2000735,3001158,4002374
165,8083641,8083642,,1000003,2000735,3001158,4002374
166,8093889,8093890,,1000003,2000735,3001158,4002374
167,8094720,8094721,,1000003,2000735,3001158,4002374
168,8094776,8094777,,1000003,2000735,3001158,4002374
169,8094778,8094779,,1000003,2000735,3001158,4002374
170,8045713,8091614,,1000000,2001472,3002527,4004634
171,8023117,8035497,,1000003,2000014,3001159,4001253
172,8023119,8035499,,1000003,2000014,3001159,4001253
173,8023120,8035500,,1000003,2000014,3001159,4001253
174,8023123,8035503,,1000003,2000014,3001159,4001253
175,8023130,8035510,,1000003,2000014,3001159,4001253
176,8023131,8035511,,1000003,2000014,3001159,4001253
177,8023628,8036008,,1000003,2000014,3001159,4001253
178,8025618,8037997,,1000003,2000014,3001159,4001253
179,8025912,8038291,,1000003,2000014,3001159,4001253
180,8025915,8038294,,1000003,2000014,3001159,4001253
181,8029145,8041524,,1000003,2000014,3001159,4001253
182,8029486,8041865,,1000003,2000014,3001159,4001253
183,8031484,8043862,,1000003,2000014,3001159,4001253
184,8061464,8061465,,1000003,2000014,3001159,4001253
185,8061466,8061467,,1000003,2000014,3001159,4001253
186,8064505,8064506,,1000003,2000014,3001159,4001253
